go_f,count,Systematic Name
pyridoxamine-phosphate oxidase activity,1,['YBR035C']
pyridoxine:NADP 4-dehydrogenase activity,1,['YPR127W']
pyrimidine nucleotide binding,1,['YNL102W']
pyrimidine nucleotide transmembrane transporter activity,1,['YBR192W']
pyrophosphatase activity,2,"['YHR201C', 'YMR217W']"
pyrroline-5-carboxylate reductase activity,1,['YER023W']
pyruvate carboxylase activity,2,"['YBR218C', 'YGL062W']"
pyruvate decarboxylase activity,3,"['YGR087C', 'YLR044C', 'YLR134W']"
pyruvate dehydrogenase (acetyl-transferring) activity,2,"['YBR221C', 'YER178W']"
pyruvate dehydrogenase (acetyl-transferring) kinase activity,2,"['YGL059W', 'YIL042C']"
pyruvate dehydrogenase activity,1,['YFL018C']
pyruvate kinase activity,2,"['YAL038W', 'YOR347C']"
pyruvate secondary active transmembrane transporter activity,1,['YIL006W']
pyruvate transmembrane transporter activity,3,"['YGL080W', 'YGR243W', 'YHR162W']"
quinone binding,3,"['YDR178W', 'YKL141W', 'YMR118C']"
rDNA binding,10,"['YBR245C', 'YEL055C', 'YER164W', 'YGR063C', 'YHL025W', 'YJL076W', 'YKL125W', 'YKR010C', 'YLR141W', 'YOR290C']"
rDNA spacer replication fork barrier binding,1,['YDR110W']
rRNA (adenine) methyltransferase activity,2,"['YBR141C', 'YDR083W']"
rRNA (adenine-N1-)-methyltransferase activity,1,['YDR083W']
"rRNA (adenine-N6,N6-)-dimethyltransferase activity",1,['YPL266W']
rRNA (cytosine-C5-)-methyltransferase activity,2,"['YNL022C', 'YNL061W']"
rRNA (guanine) methyltransferase activity,3,"['YCL054W', 'YCR047C', 'YNR046W']"
rRNA (guanine-N1-)-methyltransferase activity,1,['YOR201C']
rRNA (guanosine-2'-O-)-methyltransferase activity,1,['YCL054W']
rRNA (pseudouridine) methyltransferase activity,1,['YLR186W']
rRNA (uridine-2'-O-)-methyltransferase activity,2,"['YCL054W', 'YGL136C']"
rRNA (uridine-N3-)-methyltransferase activity,2,"['YIL096C', 'YLR063W']"
rRNA binding,47,"['YBL038W', 'YBR048W', 'YBR189W', 'YCL031C', 'YDL213C', 'YDR025W', 'YDR312W', 'YDR337W', 'YDR385W', 'YDR450W', 'YDR500C', 'YFR031C-A', 'YGL147C', 'YGR085C', 'YGR150C', 'YHR052W', 'YHR066W', 'YHR088W', 'YHR147C', 'YHR148W', 'YHR203C', 'YIL018W', 'YIL091C', 'YJR113C', 'YJR123W', 'YJR145C', 'YKL003C', 'YKR081C', 'YLR185W', 'YLR186W', 'YLR249W', 'YML010W', 'YML026C', 'YMR188C', 'YNL067W', 'YNL075W', 'YNL110C', 'YNL137C', 'YOL041C', 'YOL077C', 'YOL127W', 'YOR048C', 'YOR133W', 'YPL081W', 'YPL131W', 'YPL146C', 'YPR102C']"
rRNA cytidine N-acetyltransferase activity,1,['YNL132W']
rRNA methyltransferase activity,4,"['YCL054W', 'YDL014W', 'YMR265C', 'YPL266W']"
rRNA primary transcript binding,14,"['YBR257W', 'YDR478W', 'YEL055C', 'YGR030C', 'YHR088W', 'YLR022C', 'YLR145W', 'YMR229C', 'YNL002C', 'YNL075W', 'YOL077C', 'YOR001W', 'YOR145C', 'YPR112C']"
rRNA pseudouridine synthase activity,1,['YLR165C']
"racemase activity, acting on amino acids and derivatives",1,['YIR030C']
"racemase and epimerase activity, acting on carbohydrates and derivatives",1,['YJL121C']
receptor binding,1,['YGL153W']
receptor signaling complex scaffold activity,1,['YOR212W']
recombinase activator activity,1,['YGL033W']
recombinase activity,5,"['YDR004W', 'YDR296W', 'YER095W', 'YER179W', 'YML032C']"
ribitol-5-phosphatase activity,1,['YNL010W']
riboflavin kinase activity,1,['YDR236C']
riboflavin reductase (NADPH) activity,1,['YGL148W']
riboflavin synthase activity,1,['YBR256C']
riboflavin transporter activity,1,['YOR306C']
ribokinase activity,1,['YCR036W']
ribonuclease III activity,3,"['YLR312W-A', 'YMR024W', 'YMR239C']"
ribonuclease MRP activity,8,"['YAL033W', 'YBL018C', 'YBR167C', 'YBR257W', 'YGR030C', 'YHR062C', 'YNL221C', 'YNL282W']"
ribonuclease P RNA binding,3,"['YAL033W', 'YBR257W', 'YGL122C']"
ribonuclease P activity,10,"['YAL033W', 'YBL018C', 'YBR167C', 'YBR257W', 'YGR030C', 'YHR062C', 'YIR015W', 'YML091C', 'YNL221C', 'YNL282W']"
ribonuclease T2 activity,1,['YPL123C']
ribonuclease activity,5,"['YDR293C', 'YHR079C', 'YJL208C', 'YMR287C', 'YOL021C']"
ribonuclease inhibitor activity,2,"['YER165W', 'YOL144W']"
ribonucleoprotein complex binding,8,"['YDL060W', 'YDL081C', 'YDL130W', 'YGR103W', 'YIL149C', 'YKR095W', 'YMR049C', 'YOR272W']"
ribonucleoside binding,3,"['YOR151C', 'YOR207C', 'YPR010C']"
"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor",4,"['YER070W', 'YGR180C', 'YIL066C', 'YJL026W']"
ribonucleoside-diphosphate reductase inhibitor activity,3,"['YLR437C', 'YML058W', 'YML058W-A']"
ribose phosphate diphosphokinase activity,5,"['YBL068W', 'YER099C', 'YHL011C', 'YKL181W', 'YOL061W']"
ribose-5-phosphate isomerase activity,1,['YOR095C']
ribosomal large subunit binding,7,"['YBR025C', 'YHR038W', 'YHR170W', 'YLR074C', 'YMR247C', 'YPL009C', 'YPR016C']"
ribosomal protein S6 kinase activity,1,['YBR028C']
ribosomal small subunit binding,6,"['YDR091C', 'YMR080C', 'YMR260C', 'YNL175C', 'YNL244C', 'YPR163C']"
ribosomal-protein-alanine N-acetyltransferase activity,1,['YIR042C']
ribosome binding,37,"['YAL035W', 'YBR025C', 'YBR120C', 'YBR155W', 'YBR185C', 'YBR283C', 'YCR059C', 'YDL040C', 'YDR172W', 'YDR385W', 'YEL034W', 'YGL195W', 'YGR054W', 'YGR169C-A', 'YGR285C', 'YHR168W', 'YIL016W', 'YJR007W', 'YJR047C', 'YKR084C', 'YLR150W', 'YLR216C', 'YLR289W', 'YLR378C', 'YLR435W', 'YML028W', 'YMR116C', 'YNL001W', 'YNL016W', 'YNL163C', 'YOL027C', 'YOR133W', 'YPL210C', 'YPL215W', 'YPL226W', 'YPR016C', 'YPR125W']"
ribosylnicotinamide kinase activity,3,"['YDR020C', 'YNL129W', 'YNR012W']"
ribosylpyrimidine nucleosidase activity,1,['YDR400W']
ribulose-phosphate 3-epimerase activity,1,['YJL121C']
"saccharopine dehydrogenase (NAD+, L-lysine-forming) activity",1,['YIR034C']
"saccharopine dehydrogenase (NADP+, L-glutamate-forming) activity",1,['YNR050C']
saccharopine dehydrogenase activity,1,['YNR050C']
scaffold protein binding,1,['YOR212W']
second spliceosomal transesterification activity,13,"['YAL032C', 'YDL209C', 'YDR088C', 'YDR364C', 'YDR416W', 'YER013W', 'YGR006W', 'YGR129W', 'YHR165C', 'YJR050W', 'YKR086W', 'YLR117C', 'YMR213W']"
secondary active monocarboxylate transmembrane transporter activity,1,['YKL217W']
secondary active sulfate transmembrane transporter activity,4,"['YBR294W', 'YGR125W', 'YLR092W', 'YPR003C']"
sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity,2,"['YGR043C', 'YLR354C']"
sedoheptulose-bisphosphatase activity,1,['YKR043C']
selenite:proton symporter activity,2,"['YKL217W', 'YML123C']"
sequence-specific DNA binding,118,"['YAL051W', 'YAR007C', 'YBL021C', 'YBL022C', 'YBL054W', 'YBL103C', 'YBR033W', 'YBR049C', 'YBR066C', 'YBR083W', 'YBR089C-A', 'YBR150C', 'YBR182C', 'YBR239C', 'YBR267W', 'YCR018C', 'YCR039C', 'YCR065W', 'YCR106W', 'YDL048C', 'YDL056W', 'YDL106C', 'YDR034C', 'YDR146C', 'YDR169C', 'YDR207C', 'YDR216W', 'YDR259C', 'YDR303C', 'YDR310C', 'YDR421W', 'YDR423C', 'YDR520C', 'YEL009C', 'YER028C', 'YER040W', 'YER045C', 'YER088C', 'YER111C', 'YER169W', 'YER184C', 'YFL021W', 'YFR034C', 'YGL035C', 'YGL073W', 'YGL254W', 'YGR067C', 'YGR249W', 'YHL009C', 'YHR124W', 'YHR178W', 'YHR206W', 'YIL036W', 'YIL101C', 'YIL130W', 'YIL131C', 'YIR013C', 'YJL089W', 'YJL103C', 'YJL110C', 'YJL127C', 'YJL173C', 'YJR127C', 'YJR147W', 'YKL015W', 'YKL032C', 'YKL043W', 'YKL049C', 'YKL112W', 'YKL185W', 'YKL222C', 'YKR034W', 'YLL054C', 'YLR013W', 'YLR014C', 'YLR098C', 'YLR131C', 'YLR176C', 'YLR228C', 'YLR256W', 'YLR278C', 'YLR375W', 'YLR451W', 'YML027W', 'YML076C', 'YML081W', 'YMR016C', 'YMR019W', 'YMR043W', 'YMR111C', 'YMR136W', 'YNL027W', 'YNL068C', 'YNL216W', 'YNL312W', 'YNL314W', 'YNR063W', 'YOL028C', 'YOL089C', 'YOL116W', 'YOR028C', 'YOR113W', 'YOR140W', 'YOR162C', 'YOR337W', 'YOR344C', 'YOR380W', 'YPL021W', 'YPL089C', 'YPL133C', 'YPL177C', 'YPL230W', 'YPR009W', 'YPR013C', 'YPR022C', 'YPR065W', 'YPR104C', 'YPR196W']"
"sequence-specific DNA binding, bending",1,['YKL112W']
sequence-specific mRNA binding,3,"['YBR130C', 'YBR143C', 'YKL130C']"
serine 3-dehydrogenase activity,1,['YMR226C']
serine C-palmitoyltransferase activity,2,"['YDR062W', 'YMR296C']"
serine binding,2,"['YBR263W', 'YLR058C']"
serine hydrolase activity,4,"['YBR139W', 'YBR177C', 'YBR204C', 'YKL094W']"
serine racemase activity,1,['YKL218C']
serine-pyruvate transaminase activity,1,['YFL030W']
serine-tRNA ligase activity,2,"['YDR023W', 'YHR011W']"
serine-type carboxypeptidase activity,3,"['YBR139W', 'YGL203C', 'YMR297W']"
serine-type endopeptidase activity,13,"['YBL022C', 'YCR045C', 'YEL060C', 'YGR101W', 'YHR028C', 'YIR022W', 'YJL156C', 'YMR035W', 'YMR150C', 'YNL123W', 'YNL238W', 'YOR003W', 'YPL246C']"
serine-type endopeptidase inhibitor activity,2,"['YLR178C', 'YNL015W']"
serine-type peptidase activity,12,"['YBL022C', 'YCR045C', 'YEL060C', 'YGR101W', 'YHR028C', 'YMR035W', 'YMR150C', 'YNL123W', 'YNL238W', 'YOR003W', 'YOR219C', 'YPL246C']"
shikimate 3-dehydrogenase (NADP+) activity,1,['YDR127W']
shikimate kinase activity,1,['YDR127W']
short-chain carboxylesterase activity,2,"['YBR177C', 'YPL095C']"
sialic acid transmembrane transporter activity,1,['YKL217W']
siderophore transmembrane transporter activity,6,"['YCL073C', 'YEL065W', 'YHL040C', 'YHL047C', 'YKR106W', 'YOL158C']"
siderophore uptake transmembrane transporter activity,1,['YEL065W']
signal recognition particle binding,3,"['YDR292C', 'YKL154W', 'YPL243W']"
signal sequence binding,9,"['YBL017C', 'YBR283C', 'YHR098C', 'YIL109C', 'YIL173W', 'YJL222W', 'YLR378C', 'YNL049C', 'YPR079W']"
signaling adaptor activity,1,['YOR373W']
signaling receptor activity,4,"['YDR492W', 'YLR023C', 'YOL002C', 'YOL101C']"
single base insertion or deletion binding,2,"['YDR097C', 'YOL090W']"
single guanine insertion binding,1,['YOL090W']
single thymine insertion binding,2,"['YDR097C', 'YOL090W']"
single-strand break-containing DNA binding,2,"['YER162C', 'YOR258W']"
single-stranded DNA 3'-5' exodeoxyribonuclease activity,5,"['YBR278W', 'YDR121W', 'YJR006W', 'YJR043C', 'YNL262W']"
single-stranded DNA 5'-3' exodeoxyribonuclease activity,1,['YBR163W']
single-stranded DNA binding,57,"['R0010W', 'YAR007C', 'YBL022C', 'YBL023C', 'YBR202W', 'YBR223C', 'YBR278W', 'YCR028C-A', 'YCR066W', 'YDL088C', 'YDR004W', 'YDR121W', 'YDR291W', 'YDR296W', 'YDR314C', 'YDR404C', 'YEL032W', 'YER095W', 'YER162C', 'YER179W', 'YGL058W', 'YGL201C', 'YGR258C', 'YIL150C', 'YIR008C', 'YJL140W', 'YJR144W', 'YKL028W', 'YKL045W', 'YKL108W', 'YKR062W', 'YLR103C', 'YLR233C', 'YLR259C', 'YLR274W', 'YLR304C', 'YLR383W', 'YLR442C', 'YML061C', 'YML095C', 'YMR114C', 'YMR153W', 'YMR167W', 'YNL082W', 'YNL102W', 'YNL239W', 'YNL255C', 'YNL262W', 'YNL312W', 'YOL034W', 'YOR258W', 'YOR304W', 'YPL022W', 'YPL024W', 'YPR019W', 'YPR175W', 'YPR190C']"
single-stranded DNA endodeoxyribonuclease activity,8,"['YGL175C', 'YGR258C', 'YHR164C', 'YJL208C', 'YKR056W', 'YML095C', 'YMR224C', 'YPL022W']"
single-stranded DNA-dependent ATP-dependent 3'-5' DNA helicase activity,1,['YGL201C']
single-stranded DNA-dependent ATP-dependent DNA helicase activity,10,"['YBL023C', 'YBR202W', 'YCR066W', 'YEL032W', 'YGL058W', 'YGL201C', 'YHR164C', 'YLR274W', 'YNL218W', 'YPR019W']"
single-stranded RNA binding,8,"['YDR404C', 'YGR063C', 'YJL140W', 'YML010W', 'YNL255C', 'YOR001W', 'YPL119C', 'YPR163C']"
single-stranded telomeric DNA binding,11,"['YAR007C', 'YCL011C', 'YDL220C', 'YDR082W', 'YDR369C', 'YGL169W', 'YGR159C', 'YLR010C', 'YMR224C', 'YNL075W', 'YNL250W']"
sirohydrochlorin ferrochelatase activity,1,['YBR213W']
site-specific recombinase activity,1,['R0010W']
small GTPase binding,36,"['YBR118W', 'YBR158W', 'YDL077C', 'YDR002W', 'YDR080W', 'YDR309C', 'YDR395W', 'YER008C', 'YER009W', 'YER110C', 'YGL161C', 'YGL198W', 'YGL233W', 'YGL238W', 'YGL241W', 'YGR218W', 'YHR061C', 'YIL159W', 'YJL085W', 'YJR074W', 'YJR132W', 'YKL205W', 'YLR330W', 'YLR335W', 'YLR347C', 'YMR235C', 'YMR237W', 'YNL271C', 'YOL078W', 'YOR160W', 'YOR212W', 'YOR216C', 'YOR370C', 'YPL125W', 'YPR032W', 'YPR080W']"
small molecule sensor activity,1,['YHL008C']
small protein activating enzyme activity,9,"['YDR390C', 'YHR003C', 'YHR111W', 'YHR171W', 'YKL027W', 'YKL210W', 'YPL003W', 'YPR066W', 'YPR180W']"
small ribosomal subunit rRNA binding,11,"['YAL035W', 'YCR031C', 'YDR064W', 'YER050C', 'YGL123W', 'YJL191W', 'YKL003C', 'YLR022C', 'YNL306W', 'YOR004W', 'YOR056C']"
sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity,2,"['YBL011W', 'YKR067W']"
sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity,1,['YIL155C']
sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity,1,['YIL155C']
snRNA binding,4,"['YHL024W', 'YIL061C', 'YMR268C', 'YPR057W']"
snRNP binding,1,['YML010W']
snoRNA binding,16,"['YBR247C', 'YDL213C', 'YDR449C', 'YHR040W', 'YHR072W-A', 'YHR148W', 'YJL109C', 'YLR129W', 'YLR197W', 'YMR229C', 'YNL075W', 'YNL112W', 'YNL132W', 'YOR078W', 'YOR310C', 'YPR137W']"
sodium channel activity,1,['YOR087W']
"sodium-exporting ATPase activity, phosphorylative mechanism",3,"['YDR038C', 'YDR039C', 'YDR040C']"
sodium:inorganic phosphate symporter activity,1,['YBR296C']
sodium:proton antiporter activity,3,"['YDR456W', 'YLR138W', 'YNL321W']"
soladodine glucosyltransferase activity,1,['YLR189C']
soluble NSF attachment protein activity,1,['YBL050W']
solute:proton antiporter activity,6,"['YCL073C', 'YDR456W', 'YJL094C', 'YJR040W', 'YKR106W', 'YLR138W']"
solute:proton symporter activity,4,"['YBR219C', 'YBR220C', 'YDR536W', 'YOL122C']"
sorbitol-6-phosphatase activity,1,['YNL010W']
spermidine synthase activity,1,['YPR069C']
spermidine transmembrane transporter activity,4,"['YHL016C', 'YLL028W', 'YOR273C', 'YPL274W']"
spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity,1,['YMR020W']
spermine synthase activity,1,['YLR146C']
spermine transmembrane transporter activity,4,"['YGR138C', 'YLL028W', 'YOR273C', 'YPR156C']"
spermine:oxygen oxidoreductase (spermidine-forming) activity,1,['YMR020W']
sphinganine kinase activity,2,"['YLR260W', 'YOR171C']"
sphinganine-1-phosphate aldolase activity,1,['YDR294C']
sphingolipid binding,2,"['YDR276C', 'YIL105C']"
sphingolipid delta-4 desaturase activity,1,['YDR297W']
sphingomyelin phosphodiesterase activity,1,['YER019W']
sphingosine N-acyltransferase activity,4,"['YBR183W', 'YHL003C', 'YKL008C', 'YMR298W']"
sphingosine hydroxylase activity,2,"['YDR297W', 'YMR272C']"
sphingosine-1-phosphate phosphatase activity,2,"['YJL134W', 'YKR053C']"
spindle pole body-nuclear membrane anchor activity,1,['YML031W']
splicing factor binding,2,"['YOR159C', 'YPR182W']"
squalene monooxygenase activity,1,['YGR175C']
squalene synthase activity,1,['YHR190W']
stearoyl-CoA 9-desaturase activity,1,['YGL055W']
sterol 14-demethylase activity,1,['YHR007C']
sterol 24-C-methyltransferase activity,1,['YML008C']
sterol 3-beta-glucosyltransferase activity,1,['YLR189C']
sterol binding,14,"['YAR042W', 'YDL019C', 'YDL046W', 'YDR326C', 'YHR001W', 'YHR073W', 'YHR080C', 'YJL079C', 'YKR003W', 'YKR013W', 'YNL231C', 'YOR237W', 'YPL006W', 'YPL145C']"
sterol esterase activity,4,"['YKL140W', 'YKR089C', 'YLL012W', 'YLR020C']"
sterol transfer activity,11,"['YAR042W', 'YDL019C', 'YDR326C', 'YFL042C', 'YHR001W', 'YHR073W', 'YHR080C', 'YKR003W', 'YLR072W', 'YOR237W', 'YPL145C']"
sterol transporter activity,8,"['YAR042W', 'YDL019C', 'YHR001W', 'YHR073W', 'YHR155W', 'YKR003W', 'YOR237W', 'YPL145C']"
sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity,1,['YGL001C']
sterol-transporting ATPase activity,1,['YOR011W']
steryl deacetylase activity,1,['YGR263C']
steryl-beta-glucosidase activity,1,['YIR007W']
"stretch-activated, cation-selective, calcium channel activity",1,['YNL291C']
structural constituent of cell wall,44,"['YAL068C', 'YAR020C', 'YBL108C-A', 'YBR067C', 'YBR301W', 'YCR104W', 'YDR077W', 'YDR542W', 'YEL049W', 'YER011W', 'YER150W', 'YFL020C', 'YGL261C', 'YGR294W', 'YHL046C', 'YHR126C', 'YIL011W', 'YIL176C', 'YIR041W', 'YJL158C', 'YJL159W', 'YJL160C', 'YJL223C', 'YJR150C', 'YJR151C', 'YKL096W', 'YKL096W-A', 'YKL163W', 'YKL164C', 'YKL224C', 'YLL025W', 'YLL064C', 'YLR037C', 'YLR194C', 'YLR390W-A', 'YLR461W', 'YMR325W', 'YNL322C', 'YNR076W', 'YOL161C', 'YOR009W', 'YOR010C', 'YOR394W', 'YPL282C']"
structural constituent of cytoskeleton,20,"['YCR002C', 'YDL225W', 'YDR106W', 'YDR130C', 'YDR356W', 'YFL037W', 'YFL039C', 'YHR107C', 'YHR129C', 'YJL042W', 'YJR076C', 'YKL042W', 'YLR212C', 'YLR314C', 'YML085C', 'YML124C', 'YMR294W', 'YNL225C', 'YNR035C', 'YPL124W']"
structural constituent of nuclear pore,29,"['YAR002W', 'YBL079W', 'YDL088C', 'YDL116W', 'YDR192C', 'YER105C', 'YFR002W', 'YGL092W', 'YGL100W', 'YGL172W', 'YGR119C', 'YIL115C', 'YIL149C', 'YJL039C', 'YJL041W', 'YJL061W', 'YJR042W', 'YKL057C', 'YKL068W', 'YKR082W', 'YKR095W', 'YLR018C', 'YLR335W', 'YML031W', 'YML103C', 'YMR047C', 'YMR129W', 'YMR153W', 'YOR098C']"
structural constituent of ribosome,221,"['Q0140', 'YBL027W', 'YBL038W', 'YBL072C', 'YBL087C', 'YBL090W', 'YBL092W', 'YBR031W', 'YBR048W', 'YBR084C-A', 'YBR122C', 'YBR146W', 'YBR181C', 'YBR189W', 'YBR191W', 'YBR251W', 'YBR268W', 'YBR282W', 'YCR003W', 'YCR031C', 'YCR046C', 'YCR071C', 'YDL045W-A', 'YDL061C', 'YDL075W', 'YDL081C', 'YDL082W', 'YDL083C', 'YDL130W', 'YDL133C-A', 'YDL136W', 'YDL184C', 'YDL191W', 'YDL202W', 'YDR012W', 'YDR025W', 'YDR036C', 'YDR041W', 'YDR064W', 'YDR115W', 'YDR116C', 'YDR175C', 'YDR237W', 'YDR296W', 'YDR322W', 'YDR337W', 'YDR347W', 'YDR382W', 'YDR405W', 'YDR418W', 'YDR447C', 'YDR450W', 'YDR462W', 'YDR471W', 'YDR494W', 'YDR500C', 'YEL050C', 'YEL054C', 'YER050C', 'YER056C-A', 'YER074W', 'YER102W', 'YER117W', 'YER131W', 'YFL034C-A', 'YFR031C-A', 'YFR032C-A', 'YFR049W', 'YGL030W', 'YGL031C', 'YGL068W', 'YGL076C', 'YGL103W', 'YGL123W', 'YGL129C', 'YGL135W', 'YGL147C', 'YGL189C', 'YGR027C', 'YGR034W', 'YGR076C', 'YGR084C', 'YGR085C', 'YGR118W', 'YGR148C', 'YGR165W', 'YGR214W', 'YGR215W', 'YGR220C', 'YHL001W', 'YHL004W', 'YHL015W', 'YHL033C', 'YHR010W', 'YHR021C', 'YHR059W', 'YHR075C', 'YHR141C', 'YHR147C', 'YHR203C', 'YIL018W', 'YIL052C', 'YIL069C', 'YIL093C', 'YIL133C', 'YIL148W', 'YJL063C', 'YJL096W', 'YJL136C', 'YJL177W', 'YJL189W', 'YJL190C', 'YJL191W', 'YJR094W-A', 'YJR101W', 'YJR113C', 'YJR123W', 'YJR145C', 'YKL003C', 'YKL006W', 'YKL138C', 'YKL155C', 'YKL156W', 'YKL167C', 'YKL170W', 'YKL180W', 'YKR006C', 'YKR057W', 'YKR085C', 'YKR094C', 'YLL045C', 'YLR029C', 'YLR048W', 'YLR061W', 'YLR075W', 'YLR167W', 'YLR185W', 'YLR204W', 'YLR264W', 'YLR287C-A', 'YLR312W-A', 'YLR325C', 'YLR333C', 'YLR340W', 'YLR344W', 'YLR367W', 'YLR388W', 'YLR406C', 'YLR439W', 'YLR441C', 'YLR448W', 'YML009C', 'YML024W', 'YML025C', 'YML026C', 'YML063W', 'YML073C', 'YMR024W', 'YMR121C', 'YMR142C', 'YMR143W', 'YMR158W', 'YMR188C', 'YMR193W', 'YMR194W', 'YMR225C', 'YMR230W', 'YMR242C', 'YMR286W', 'YNL002C', 'YNL005C', 'YNL067W', 'YNL069C', 'YNL081C', 'YNL096C', 'YNL122C', 'YNL137C', 'YNL162W', 'YNL177C', 'YNL178W', 'YNL185C', 'YNL252C', 'YNL284C', 'YNL301C', 'YNL302C', 'YNL306W', 'YNR022C', 'YNR036C', 'YNR037C', 'YOL039W', 'YOL040C', 'YOL120C', 'YOL121C', 'YOL127W', 'YOR063W', 'YOR096W', 'YOR150W', 'YOR158W', 'YOR167C', 'YOR182C', 'YOR234C', 'YOR293W', 'YOR312C', 'YOR369C', 'YPL013C', 'YPL079W', 'YPL081W', 'YPL090C', 'YPL118W', 'YPL131W', 'YPL143W', 'YPL173W', 'YPL183W-A', 'YPL198W', 'YPL220W', 'YPL249C-A', 'YPR043W', 'YPR100W', 'YPR102C', 'YPR132W', 'YPR166C']"
structural molecule activity,33,"['YBR081C', 'YDL097C', 'YDL145C', 'YDL195W', 'YDR086C', 'YDR218C', 'YDR238C', 'YDR254W', 'YDR322C-A', 'YDR334W', 'YDR427W', 'YGL066W', 'YGL075C', 'YGL100W', 'YGL137W', 'YGL170C', 'YGL206C', 'YGR059W', 'YGR167W', 'YGR193C', 'YIL076W', 'YJR102C', 'YLR208W', 'YLR211C', 'YLR227C', 'YLR263W', 'YMR076C', 'YNL287W', 'YNR010W', 'YOL091W', 'YOR177C', 'YPL255W', 'YPR108W']"
succinate dehydrogenase (ubiquinone) activity,6,"['YDR178W', 'YJL045W', 'YKL141W', 'YKL148C', 'YLL041C', 'YLR164W']"
succinate dehydrogenase activity,4,"['YJL045W', 'YKL141W', 'YKL148C', 'YMR118C']"
succinate transmembrane transporter activity,1,['YLR348C']
succinate-CoA ligase (ADP-forming) activity,2,"['YGR244C', 'YOR142W']"
succinate-CoA ligase (GDP-forming) activity,2,"['YGR244C', 'YOR142W']"
succinate-semialdehyde dehydrogenase (NAD+) activity,1,['YBR006W']
succinate-semialdehyde dehydrogenase [NAD(P)+] activity,1,['YBR006W']
succinate:fumarate antiporter activity,1,['YJR095W']
sucrose alpha-glucosidase activity,8,"['YBR299W', 'YGR287C', 'YGR292W', 'YIL162W', 'YIL172C', 'YJL216C', 'YJL221C', 'YOL157C']"
sugar-phosphatase activity,2,"['YHR043C', 'YHR044C']"
sugar:proton symporter activity,25,"['YBR298C', 'YDL138W', 'YDL194W', 'YDL199C', 'YDL245C', 'YDL247W', 'YDR342C', 'YDR343C', 'YDR345C', 'YDR536W', 'YEL069C', 'YFL011W', 'YGR289C', 'YHR092C', 'YHR094C', 'YHR096C', 'YJL214W', 'YJL219W', 'YJR158W', 'YJR160C', 'YLR081W', 'YMR011W', 'YNL318C', 'YNR072W', 'YOL156W']"
sulfate adenylyltransferase (ADP) activity,2,"['YCL050C', 'YDR530C']"
sulfate adenylyltransferase (ATP) activity,1,['YJR010W']
sulfate transmembrane transporter activity,7,"['YBR294W', 'YGR125W', 'YIL166C', 'YKL120W', 'YLR092W', 'YLR348C', 'YPR003C']"
sulfiredoxin activity,1,['YKL086W']
sulfite reductase (NADPH) activity,2,"['YFR030W', 'YJR137C']"
sulfite reductase (ferredoxin) activity,1,['YJR137C']
sulfite reductase activity,1,['YJR137C']
sulfite transmembrane transporter activity,1,['YPL092W']
sulfonate dioxygenase activity,1,['YLL057C']
sulfur compound transmembrane transporter activity,1,['YIL166C']
sulfuric ester hydrolase activity,1,['YKL165C']
sulfurtransferase activity,5,"['YDL033C', 'YHR111W', 'YNL119W', 'YOR196C', 'YOR251C']"
superoxide dismutase activity,7,"['YDR347W', 'YHR008C', 'YHR053C', 'YHR055C', 'YJR101W', 'YJR104C', 'YMR038C']"
superoxide dismutase copper chaperone activity,1,['YMR038C']
superoxide-generating NADPH oxidase activity,1,['YGL160W']
symporter activity,8,"['YBR296C', 'YCR075C', 'YGR065C', 'YGR289C', 'YKL221W', 'YNL125C', 'YOL119C', 'YPL189W']"
syntaxin binding,11,"['YAL030W', 'YBL050W', 'YBL106C', 'YDR027C', 'YDR164C', 'YDR189W', 'YDR484W', 'YGR009C', 'YMR017W', 'YOR327C', 'YPR032W']"
tRNA (adenine-N1-)-methyltransferase activity,2,"['YJL125C', 'YNL062C']"
tRNA (carboxymethyluridine(34)-5-O)-methyltransferase activity,1,['YML014W']
tRNA (cytosine-3-)-methyltransferase activity,1,['YOR239W']
tRNA (cytosine-5-)-methyltransferase activity,1,['YBL024W']
tRNA (guanine(37)-N(1))-methyltransferase activity,1,['YHR070W']
tRNA (guanine(9)-N(1))-methyltransferase activity,1,['YOL093W']
tRNA (guanine) methyltransferase activity,2,"['YDL112W', 'YOL093W']"
tRNA (guanine-N1-)-methyltransferase activity,2,"['YHR070W', 'YOL093W']"
tRNA (guanine-N2-)-methyltransferase activity,3,"['YDR120C', 'YNR046W', 'YOL124C']"
tRNA (guanine-N7-)-methyltransferase activity,2,"['YDL201W', 'YDR165W']"
tRNA (guanosine-2'-O-)-methyltransferase activity,1,['YDL112W']
tRNA (m5U54) methyltransferase activity,1,['YKR056W']
tRNA (uracil) methyltransferase activity,2,"['YML014W', 'YPL030W']"
tRNA (uracil-2'-O-)-methyltransferase activity,1,['YDL112W']
tRNA 2'-O-methyltransferase activity,2,"['YBR061C', 'YOL125W']"
